age,income,account_age_months,monthly_activity_score,support_tickets,num_logins,feature_usage_score,region,subscription_type,target,prediction,prediction_proba
22,15000.0,25,63.64,0,45,18.44,West,Basic,0,1,0.5528
68,70675.72,11,30.66,4,20,11.22,West,Standard,0,0,0.1333
58,50340.31,16,54.27,3,10,25.62,East,Basic,0,0,0.2602
45,31311.77,41,49.43,2,50,50.75,North,Standard,0,1,0.5733
45,51044.05,74,97.22,1,22,62.98,North,Premium,1,1,0.8478
37,37906.54,26,76.28,2,59,90.23,West,Basic,1,1,0.8834
32,55471.95,75,0.48,1,12,13.71,South,Basic,0,0,0.158
18,51590.87,41,70.19,2,48,73.01,Central,Premium,1,1,0.7953
31,33606.67,31,10.14,3,22,45.15,East,Basic,0,0,0.1355
30,59516.77,13,89.52,3,26,77.69,Central,Basic,1,1,0.7756
60,37646.81,45,75.21,0,13,95.02,South,Standard,1,1,0.7955
21,63368.3,7,9.42,0,38,65.79,East,Basic,1,0,0.3252
24,15000.0,90,39.86,2,26,43.3,West,Basic,0,0,0.3191
21,58243.11,93,71.58,3,24,68.34,East,Basic,1,1,0.8298
38,43423.18,85,15.43,2,32,33.08,West,Standard,0,0,0.1952
33,47014.31,27,51.52,2,29,18.81,West,Standard,1,0,0.2619
28,84757.89,58,52.53,2,45,97.28,West,Standard,1,1,0.7431
41,47843.66,22,69.26,2,6,58.71,Central,Basic,1,1,0.6022
65,62128.62,33,49.12,3,14,62.71,South,Standard,0,0,0.4915
21,75625.64,31,78.56,3,11,79.0,South,Standard,1,1,0.7826
59,85450.86,32,79.75,3,47,7.91,South,Basic,0,1,0.5392
66,34670.38,79,15.34,0,40,2.2,East,Basic,0,0,0.1955
61,77568.3,98,40.88,0,12,25.86,West,Premium,0,0,0.248
54,36455.03,42,78.64,2,53,90.48,East,Standard,1,1,0.8722
23,31144.57,80,76.2,3,16,42.01,Central,Standard,1,1,0.58
25,82497.19,2,54.11,1,4,68.1,West,Premium,1,1,0.503
56,40935.26,23,49.99,0,28,54.04,Central,Standard,1,0,0.4852
40,59884.14,62,78.28,0,0,75.98,Central,Basic,1,1,0.7945
48,75646.92,39,76.75,3,35,39.57,West,Premium,1,1,0.601
52,87338.8,63,51.04,3,56,62.16,North,Basic,1,1,0.746
60,53903.4,89,40.64,4,19,83.05,West,Standard,1,1,0.5992
38,50039.77,5,50.35,3,19,23.9,East,Standard,0,0,0.2469
49,47065.5,46,15.53,3,52,59.86,East,Premium,0,0,0.357
68,54329.06,109,13.06,0,46,6.95,South,Standard,0,0,0.2714
63,75658.36,27,25.91,3,42,75.4,North,Standard,1,0,0.4546
30,15203.56,58,97.15,4,11,72.22,South,Premium,1,1,0.8054
51,49439.33,72,89.98,1,57,31.67,West,Standard,1,1,0.8416
56,70313.91,22,28.68,2,14,5.07,Central,Basic,0,0,0.13
60,69882.99,34,29.82,0,20,58.61,South,Basic,0,0,0.3614
40,20536.13,40,69.21,3,6,84.1,East,Basic,1,1,0.7279
18,75607.85,57,50.65,1,56,67.94,South,Basic,1,1,0.7351
52,56194.3,60,60.18,2,17,72.68,East,Basic,1,1,0.6875
37,36315.68,37,19.97,2,39,73.06,East,Premium,0,0,0.422
22,33751.18,86,29.36,1,19,83.39,East,Premium,0,1,0.5994
68,42411.08,81,21.53,1,13,49.46,Central,Basic,1,0,0.2356
22,48954.31,22,43.16,2,1,23.77,East,Standard,0,0,0.1746
53,75792.78,49,6.02,2,51,10.39,North,Premium,0,0,0.1417
41,36380.61,96,5.68,2,1,14.46,North,Premium,0,0,0.1428
27,29447.42,8,59.64,2,55,68.75,South,Premium,1,1,0.732
66,36113.6,56,90.17,4,38,37.34,West,Standard,1,1,0.7148
66,48623.85,87,2.56,2,20,79.05,South,Basic,0,0,0.4313
39,15000.0,83,69.22,5,51,40.33,North,Standard,1,1,0.6972
43,80406.23,109,70.61,2,43,98.35,West,Premium,1,1,0.8941
24,55617.56,44,57.25,2,21,68.84,East,Standard,1,1,0.6023
55,68063.52,97,30.51,0,25,11.6,South,Premium,0,0,0.2429
56,66166.94,35,82.74,1,1,97.93,North,Premium,1,1,0.7583
57,57727.95,8,80.39,3,7,46.92,South,Standard,0,0,0.4948
61,48253.23,54,64.95,2,51,19.37,West,Basic,0,1,0.6496
48,28256.7,6,22.01,1,36,50.06,East,Standard,0,0,0.2836
69,46770.18,2,18.55,2,48,18.78,South,Standard,0,0,0.2782
48,52844.48,37,3.49,0,21,29.67,Central,Standard,0,0,0.1392
20,65458.35,1,52.96,1,38,46.81,North,Basic,1,0,0.4364
69,74123.0,23,53.51,3,41,64.19,South,Premium,0,1,0.6536
42,79066.41,28,31.73,2,48,75.52,North,Standard,0,1,0.543
35,35475.37,106,2.37,1,52,40.05,East,Basic,0,0,0.257
63,53496.95,79,45.04,1,26,0.99,Central,Premium,0,0,0.2608
55,62056.13,49,79.34,2,58,19.54,South,Basic,1,1,0.7116
43,55980.75,82,36.95,3,0,95.37,East,Basic,1,1,0.5909
63,80720.35,71,15.99,2,41,65.43,West,Premium,1,0,0.4336
53,49655.49,45,78.06,1,1,14.41,West,Standard,0,0,0.4148
34,81484.76,67,67.71,0,51,64.51,North,Basic,1,1,0.8351
30,49648.16,119,94.61,1,17,22.06,South,Premium,1,1,0.6975
40,45611.88,55,38.97,2,14,1.75,West,Basic,0,0,0.1493
36,26484.87,118,98.95,3,17,15.53,North,Basic,0,1,0.682
63,71109.84,64,30.97,2,9,97.75,Central,Basic,1,1,0.5532
62,82095.38,50,3.76,2,4,23.71,Central,Standard,0,0,0.1103
21,71511.18,5,18.52,3,44,76.87,North,Premium,0,0,0.4486
46,49826.21,43,54.4,1,50,65.08,North,Basic,1,1,0.7423
49,70149.99,31,76.21,4,35,86.16,South,Premium,1,1,0.835
38,40910.89,59,98.89,2,21,10.88,West,Basic,1,1,0.5992
28,79226.37,11,96.57,1,19,43.91,West,Standard,1,1,0.5814
26,18155.32,73,2.27,2,28,71.34,North,Basic,0,0,0.3981
43,47635.09,34,28.26,3,41,78.57,South,Basic,1,1,0.5544
26,24040.15,90,14.15,2,17,78.08,North,Standard,0,0,0.4202
48,45966.55,45,97.44,3,46,51.61,Central,Premium,1,1,0.7544
30,32249.15,89,10.93,2,9,2.13,East,Basic,0,0,0.1429
36,52282.46,4,31.13,5,36,97.86,North,Premium,0,1,0.5178
47,67687.58,74,14.98,1,44,65.25,East,Premium,0,0,0.4616
46,54728.84,8,45.52,2,13,62.6,West,Premium,1,0,0.4747
62,62517.94,32,28.64,2,4,53.64,North,Basic,0,0,0.2289
18,50268.35,103,6.84,3,56,10.87,North,Standard,1,0,0.2563
27,74582.83,37,91.1,1,2,32.8,Central,Premium,0,1,0.5623
58,76874.96,36,27.23,1,22,18.15,West,Standard,0,0,0.1273
46,27327.56,104,86.42,4,24,18.55,North,Basic,1,1,0.7089
20,75202.68,36,79.46,2,38,92.67,East,Basic,1,1,0.882
34,72453.26,55,55.59,2,13,45.97,Central,Basic,1,0,0.3824
23,75752.25,85,34.35,2,7,31.62,Central,Standard,0,0,0.1938
69,61050.95,18,41.91,2,53,86.72,West,Standard,1,1,0.7196
44,29037.65,116,86.38,1,31,97.25,West,Basic,1,1,0.8959
52,71957.27,109,72.28,1,57,87.07,West,Basic,1,1,0.9306
21,49622.47,67,54.8,1,8,25.21,West,Premium,0,0,0.393
48,61039.66,41,27.08,0,38,51.43,North,Basic,1,0,0.3807
32,15000.0,58,79.51,3,46,80.31,North,Basic,1,1,0.867
31,70152.1,22,42.33,4,47,39.45,West,Standard,0,0,0.3642
38,72521.02,21,68.35,2,14,63.69,Central,Basic,0,1,0.6906
19,98124.4,116,84.73,3,56,49.24,Central,Standard,1,1,0.7128
32,80774.05,27,21.23,2,36,24.22,West,Basic,1,0,0.1688
69,52149.3,63,62.92,1,4,33.09,East,Premium,0,0,0.4893
51,88318.09,71,49.73,2,40,10.42,Central,Basic,0,0,0.385
38,27397.71,72,7.37,2,49,88.12,Central,Premium,0,0,0.4729
58,132158.79,113,51.59,1,16,59.75,South,Standard,0,1,0.6386
42,116511.48,91,12.01,2,26,20.13,West,Basic,0,0,0.2119
47,71616.39,76,78.57,3,24,19.61,East,Standard,0,1,0.6235
46,37434.64,101,46.64,2,38,47.04,South,Premium,1,0,0.4675
36,57797.24,56,51.14,1,47,64.46,North,Standard,1,1,0.7078
36,69250.78,73,63.51,1,40,48.16,East,Standard,0,1,0.6726
25,62192.47,111,9.43,2,39,46.74,South,Premium,1,0,0.2918
48,69254.96,52,14.55,4,3,92.8,West,Basic,1,0,0.3789
20,76375.71,39,80.21,2,21,50.5,Central,Standard,1,1,0.592
67,45096.52,93,68.67,1,0,42.5,East,Basic,0,0,0.4799
20,57659.25,46,31.87,3,45,18.79,West,Basic,0,0,0.1885
41,53342.03,61,8.01,3,33,6.98,North,Standard,0,0,0.1272
35,59284.38,46,63.53,3,58,63.12,Central,Basic,1,1,0.7736
63,68853.92,42,90.36,2,15,97.01,East,Basic,1,1,0.8441
44,16836.3,97,36.58,0,43,55.41,Central,Standard,1,1,0.5552
47,57330.67,95,19.29,0,22,68.9,East,Premium,0,0,0.4714
50,90103.48,50,95.55,1,20,72.8,West,Basic,1,1,0.7923
28,47088.69,4,30.72,4,46,48.81,West,Basic,0,0,0.3682
48,36348.33,94,88.4,3,17,68.54,South,Standard,1,1,0.8677
21,41528.71,24,51.96,1,32,71.23,South,Standard,1,1,0.6278
46,69290.64,87,74.45,3,31,41.22,Central,Standard,1,1,0.6214
55,19199.92,41,97.42,1,44,45.09,North,Premium,1,1,0.7135
36,59486.06,77,41.9,2,3,8.59,West,Premium,0,0,0.191
56,15000.0,71,21.81,3,22,25.93,North,Premium,0,0,0.1644
35,85471.7,85,73.73,3,15,92.06,East,Basic,1,1,0.7817
28,53607.69,38,40.07,5,9,5.06,East,Standard,0,0,0.1143
31,82311.8,71,80.1,5,37,94.2,East,Basic,1,1,0.8665
35,43826.09,110,96.31,1,31,76.76,West,Standard,1,1,0.8704
43,60507.87,77,5.11,0,38,21.63,North,Standard,0,0,0.1853
20,103018.37,107,49.85,2,37,19.59,Central,Basic,1,0,0.4403
33,34779.3,113,12.26,2,24,23.91,North,Basic,0,0,0.1876
62,73850.14,62,49.92,2,16,22.95,East,Premium,1,0,0.2352
29,15000.0,91,78.45,2,49,43.99,South,Standard,1,1,0.7298
55,15000.0,55,90.2,2,36,93.82,East,Premium,1,1,0.8987
62,68778.43,72,27.08,1,51,15.72,West,Basic,1,0,0.2907
56,55825.49,104,18.05,1,14,61.86,West,Standard,0,0,0.4669
40,45045.47,73,56.35,0,50,13.4,North,Premium,1,1,0.6137
41,54803.05,9,33.79,2,25,43.52,North,Basic,0,0,0.236
69,44646.79,88,63.87,2,1,75.67,East,Standard,0,1,0.6955
66,61043.54,71,40.73,1,4,61.27,North,Standard,1,1,0.5498
68,70468.82,43,76.47,4,44,86.49,Central,Basic,1,1,0.8599
35,74764.18,84,96.31,3,35,56.63,South,Basic,1,1,0.8537
19,55352.0,23,8.59,3,28,16.58,North,Standard,0,0,0.1119
60,71396.12,8,79.99,1,43,32.56,North,Standard,1,1,0.6177
47,68755.19,107,7.93,1,17,93.82,West,Premium,1,1,0.522
62,62863.16,73,15.72,2,31,39.99,North,Standard,0,0,0.2086
34,44782.74,81,5.33,2,25,1.51,South,Standard,0,0,0.152
69,15000.0,74,82.45,3,30,59.48,East,Premium,1,1,0.8457
37,51158.62,42,12.55,3,56,26.87,South,Standard,0,0,0.2338
54,50318.62,44,50.48,3,24,71.02,South,Basic,1,1,0.5746
60,22971.72,58,54.13,3,15,42.24,North,Premium,0,0,0.3928
55,70820.52,1,27.66,1,38,66.87,Central,Basic,0,0,0.4392
66,55257.34,2,55.22,2,36,3.86,North,Standard,0,0,0.362
34,28029.76,105,9.73,0,51,80.8,West,Basic,1,1,0.5087
67,72321.18,6,49.14,3,24,56.77,South,Standard,1,0,0.4382
53,70825.9,29,82.78,1,50,7.93,Central,Standard,1,1,0.5573
20,78539.05,23,16.16,2,46,68.67,South,Basic,0,0,0.4157
53,31691.37,118,36.49,0,39,47.73,South,Basic,1,0,0.4094
35,65764.92,56,54.24,3,19,89.18,East,Basic,0,1,0.6911
34,38142.79,113,6.2,3,44,54.45,West,Standard,0,0,0.3465
24,15000.0,110,38.66,1,27,29.4,East,Basic,1,0,0.2697
52,44429.89,99,62.13,0,56,34.94,South,Premium,1,1,0.7233
50,48578.22,96,29.41,0,16,32.39,West,Standard,0,0,0.2797
65,98645.52,37,8.78,2,45,50.49,North,Premium,0,0,0.2643
66,61574.05,35,68.46,2,17,76.77,East,Premium,1,1,0.7208
27,83960.03,65,89.28,1,42,92.33,West,Premium,1,1,0.9014
67,46254.26,7,71.02,3,28,29.34,East,Premium,1,1,0.5467
65,73229.49,66,23.6,1,38,11.55,West,Basic,0,0,0.1841
52,32463.43,85,28.0,1,58,83.87,North,Premium,1,1,0.7013
21,77294.68,38,91.69,1,26,30.3,Central,Basic,1,1,0.5955
56,30468.65,35,18.0,2,18,27.76,South,Premium,0,0,0.1612
29,82105.45,76,5.79,1,53,40.99,West,Basic,0,0,0.3029
67,53222.85,90,83.14,3,39,40.78,West,Premium,1,1,0.7514
47,41101.02,114,60.61,2,21,98.03,South,Premium,1,1,0.8304
54,34710.56,83,62.39,0,36,18.4,North,Basic,0,1,0.5625
47,72424.32,52,48.87,3,17,66.08,East,Premium,1,1,0.5218
21,36610.42,60,72.05,3,10,28.09,North,Standard,0,1,0.5267
44,60752.62,38,31.25,1,9,3.5,Central,Standard,0,0,0.1385
67,44344.15,73,42.32,2,46,32.62,East,Basic,0,0,0.3645
54,58312.84,109,64.04,0,8,85.33,Central,Basic,1,1,0.8018
27,55333.45,70,81.94,1,22,61.91,East,Basic,1,1,0.8277
49,42371.35,65,80.08,3,1,46.51,North,Basic,0,1,0.5401
39,34919.68,97,42.69,3,4,57.28,North,Premium,0,0,0.4873
46,28758.03,25,43.55,0,51,34.63,North,Standard,1,0,0.3451
69,63936.52,19,94.38,1,43,11.68,South,Standard,1,1,0.6701
22,57970.64,105,16.74,0,8,24.44,Central,Basic,0,0,0.2024
37,91726.16,55,84.56,0,14,94.17,East,Standard,1,1,0.7528
25,57793.35,47,91.13,1,57,87.31,South,Premium,1,1,0.8963
47,19696.12,108,62.35,1,27,51.96,North,Basic,1,1,0.7009
68,83952.08,86,64.79,5,58,50.55,Central,Premium,0,1,0.7673
54,32164.43,70,61.94,2,12,2.18,Central,Basic,0,0,0.3485
60,69928.04,51,3.72,2,34,89.96,South,Basic,0,0,0.3581
31,45619.44,43,12.19,4,39,82.94,East,Standard,1,0,0.4261
66,70739.63,52,93.66,0,14,70.17,West,Standard,1,1,0.8245
36,51359.58,109,48.44,4,29,72.47,East,Standard,0,1,0.7145
50,34932.39,50,18.01,5,51,76.16,North,Standard,1,0,0.3739
56,36261.56,63,73.53,3,29,73.33,West,Standard,1,1,0.8383
58,36114.59,14,32.38,3,30,80.77,Central,Standard,0,0,0.4843
67,40449.57,65,12.2,2,25,53.58,East,Premium,0,0,0.2283
47,96309.72,106,25.23,1,15,53.92,Central,Standard,1,0,0.4178
32,57721.23,24,40.45,1,43,46.18,South,Premium,1,0,0.4094
56,59036.28,46,0.59,4,56,54.51,West,Basic,1,0,0.2524
40,80415.1,101,23.86,1,21,94.91,North,Standard,1,1,0.616
55,34930.51,17,52.48,1,40,90.65,North,Basic,0,1,0.7209
18,40353.24,2,49.92,2,45,3.04,South,Premium,0,0,0.3339
58,42040.16,113,56.29,2,55,45.53,South,Basic,1,1,0.7282
58,39289.57,49,32.4,4,0,24.37,Central,Basic,0,0,0.1255
55,89694.62,119,42.27,0,34,58.93,South,Standard,1,1,0.6167
59,46076.92,117,94.21,3,45,64.91,Central,Standard,1,1,0.8843
62,30201.59,100,61.74,4,23,4.85,West,Basic,1,0,0.4231
37,49164.27,18,57.78,3,19,9.58,East,Standard,0,0,0.2873
30,41797.21,11,3.52,4,1,42.66,South,Standard,0,0,0.1475
20,33164.05,102,70.2,0,15,38.89,South,Basic,1,1,0.5648
31,66297.14,116,49.38,0,16,98.46,East,Premium,1,1,0.7221
41,16109.19,109,58.45,2,46,60.11,North,Standard,1,1,0.7866
19,60278.62,46,13.39,3,17,3.21,Central,Basic,0,0,0.1059
22,85775.07,83,41.8,1,9,92.6,East,Basic,1,1,0.6557
18,102941.46,30,97.75,0,6,61.41,West,Standard,1,1,0.6554
41,86124.17,107,73.5,2,3,45.53,East,Basic,0,1,0.5126
37,50946.34,3,66.51,0,35,51.44,West,Basic,1,1,0.6635
28,52821.87,68,36.25,5,27,27.32,South,Standard,0,0,0.2388
59,77704.03,55,56.56,3,43,82.1,North,Standard,1,1,0.8042
19,75195.87,56,4.48,1,21,54.25,Central,Basic,0,0,0.2567
20,36731.59,28,37.97,2,30,88.21,West,Standard,1,1,0.6335
41,15000.0,73,96.95,1,0,74.96,North,Basic,1,1,0.8261
30,45745.39,113,19.5,2,5,58.96,South,Premium,0,0,0.3796
57,87564.15,28,40.21,2,13,66.12,North,Premium,1,0,0.4384
54,53482.0,76,85.71,4,47,76.56,Central,Basic,1,1,0.8927
53,27109.35,52,17.26,3,3,33.16,North,Standard,0,0,0.1244
53,39400.03,46,66.82,0,12,20.54,West,Basic,0,0,0.4439
44,68972.62,110,58.51,3,55,11.84,North,Basic,0,1,0.7148
37,64458.27,91,53.12,4,38,31.97,West,Basic,1,0,0.4978
22,49550.96,72,94.45,1,59,84.47,South,Basic,1,1,0.9028
57,58695.86,114,46.77,3,12,30.56,West,Standard,0,0,0.2833
41,48220.33,83,85.33,2,4,24.08,West,Basic,1,1,0.5939
28,52153.75,110,53.84,2,22,50.68,West,Standard,0,1,0.5775
33,26019.08,24,2.58,3,23,54.37,North,Standard,0,0,0.178
46,28545.67,73,72.62,1,40,27.26,Central,Basic,1,1,0.6937
62,40781.95,115,26.29,3,0,99.41,East,Premium,1,1,0.514
31,42876.32,94,62.55,1,49,81.45,South,Basic,1,1,0.8867
51,33555.15,10,76.9,7,48,17.09,Central,Basic,0,1,0.5433
33,65909.08,74,88.72,1,53,88.35,North,Basic,1,1,0.9072
35,65783.45,47,16.08,0,15,29.41,East,Basic,0,0,0.1334
42,78976.48,83,80.66,3,32,37.81,South,Standard,1,1,0.6821
41,53463.19,77,75.31,1,6,51.27,North,Premium,1,1,0.6404
60,41132.24,109,32.24,6,57,90.33,Central,Basic,1,1,0.7262
26,36060.48,46,60.64,0,20,59.87,Central,Basic,1,1,0.6555
58,15000.0,91,94.96,2,10,66.46,East,Basic,1,1,0.8847
31,59271.8,87,17.71,1,16,99.42,West,Premium,0,1,0.5305
65,29698.85,71,88.33,3,46,55.41,East,Standard,1,1,0.8022
63,74273.94,97,19.86,3,49,33.1,North,Basic,0,0,0.2744
43,65366.87,113,64.68,5,2,67.41,Central,Standard,0,1,0.6489
66,66800.52,58,6.08,1,45,58.96,Central,Basic,0,0,0.3458
49,77623.62,2,36.49,3,35,97.67,West,Standard,0,1,0.5636
28,52818.52,20,95.82,2,49,46.92,North,Basic,1,1,0.7648
56,53836.68,119,42.13,0,55,33.65,North,Premium,1,0,0.4044
34,38149.68,113,44.31,1,32,7.51,South,Standard,0,0,0.3264
41,39941.09,53,56.05,2,56,96.66,West,Basic,1,1,0.8206
38,45348.69,5,44.35,2,59,71.48,Central,Basic,0,1,0.6415
55,65490.96,43,29.6,5,36,48.44,North,Standard,0,0,0.2271
35,49708.33,52,12.03,2,13,62.8,South,Basic,0,0,0.3185
33,62060.1,102,3.83,5,22,32.0,West,Basic,0,0,0.1827
39,59476.48,40,29.6,0,19,58.76,West,Basic,0,0,0.3876
37,47556.02,39,6.84,2,19,92.18,East,Premium,1,0,0.3738
38,107948.38,14,37.02,1,58,60.16,East,Standard,1,1,0.5385
21,57665.8,56,60.75,3,48,90.14,North,Basic,1,1,0.8116
55,71201.96,42,16.84,1,19,77.15,East,Premium,0,0,0.4132
28,15000.0,95,38.28,3,4,80.13,South,Basic,0,1,0.6659
29,48431.84,79,66.3,4,7,1.56,North,Standard,0,0,0.3166
66,60708.98,33,14.95,1,14,71.03,East,Basic,0,0,0.3088
66,73254.57,37,77.32,3,43,48.77,West,Standard,1,1,0.6892
24,37292.1,55,18.33,2,23,95.74,North,Basic,1,0,0.4389
44,68257.86,46,9.03,2,58,87.88,North,Premium,1,0,0.4142
35,24038.45,52,80.26,1,23,62.4,West,Basic,1,1,0.8069
59,43882.51,54,7.11,2,28,79.03,North,Basic,1,0,0.3364
30,50812.02,2,67.66,2,41,19.53,West,Basic,0,1,0.5388
26,91797.42,6,70.68,1,25,66.85,North,Basic,1,1,0.6214
18,54759.28,11,49.95,2,19,9.62,South,Basic,0,0,0.317
69,85884.99,93,5.25,1,51,40.44,North,Basic,0,0,0.3326
48,15000.0,107,97.36,4,54,41.45,South,Basic,1,1,0.8498
64,36894.93,47,31.76,1,8,46.0,South,Standard,0,0,0.2427
36,59261.32,112,4.07,1,17,45.59,North,Standard,0,0,0.2617
45,35685.69,25,85.2,0,22,1.63,Central,Basic,0,0,0.4473
60,75189.8,47,26.22,2,46,97.51,South,Premium,1,1,0.6523
24,34755.78,108,71.64,3,3,55.47,West,Premium,1,1,0.6761
55,73101.06,109,88.77,2,24,76.0,South,Basic,1,1,0.8955
57,36740.21,96,84.62,1,34,20.14,Central,Basic,0,1,0.7866
69,45992.63,41,21.87,0,33,61.69,North,Basic,0,0,0.4531
50,75814.35,99,17.9,1,8,40.89,Central,Standard,0,0,0.1796
63,39889.5,35,30.14,4,46,4.56,Central,Premium,0,0,0.1865
57,63488.36,48,90.77,1,14,25.79,East,Basic,1,1,0.6611
42,56328.89,45,10.25,0,42,2.78,Central,Premium,0,0,0.1723
68,53240.09,25,88.14,3,34,69.63,Central,Basic,1,1,0.8247
64,94088.6,22,27.18,1,41,15.67,Central,Basic,1,0,0.2244
34,66358.87,8,26.25,0,37,98.67,Central,Standard,0,1,0.5671
23,52967.24,51,99.21,2,1,95.61,South,Premium,1,1,0.7644
34,56385.02,34,3.03,2,5,57.56,North,Basic,0,0,0.1817
52,31767.96,101,68.4,4,30,23.27,South,Standard,0,1,0.6624
35,61540.52,30,16.07,2,15,62.43,Central,Basic,0,0,0.3263
40,66346.67,5,57.69,2,0,66.7,East,Basic,1,0,0.4595
34,73031.85,17,47.86,3,40,11.9,West,Standard,0,0,0.2733
65,92542.86,84,45.57,2,26,83.17,East,Standard,1,1,0.6707
21,63612.27,37,62.09,2,1,44.71,West,Standard,0,0,0.328
69,31184.31,81,92.51,2,50,44.8,Central,Basic,1,1,0.8409
30,59524.24,49,7.89,0,44,70.82,East,Premium,1,0,0.3266
43,43613.67,57,89.33,2,1,31.35,Central,Standard,0,1,0.5583
